long,lat
-122.502574,47.262788
-122.617635,45.878449
-122.469864,45.732426
-122.519414,45.630173
-122.188994,47.678406
-122.212105,47.792368
-122.120008,48.522006
-122.297534,47.685291
-122.188994,47.678406
-122.168422,47.614824
-122.534497,47.643688
-122.793341,46.015421
-122.686329,45.713105
-122.303604,47.716244
-122.116674,47.363112
-123.362968,48.075894
-122.321673,47.634289
-122.212105,47.792368
-122.234589,47.626443
-122.298657,47.663771
-122.201515,47.843376
-122.874042,46.998873
-122.212105,47.792368
-122.137386,47.444808
-122.029605,47.939428
-122.195381,47.369696
-122.297534,47.685291
-122.346385,47.630685
-122.270761,47.205558
-122.275593,47.54055
-122.374864,47.548552
-123.939506,47.067836
-122.334341,47.611423
-122.2016,47.447869
-122.168422,47.614824
-122.62505,45.640901
-122.379354,47.687571
-123.084302,48.544106
-122.196448,47.40561
-122.148214,47.292978
-122.275593,47.54055
-122.343983,47.739969
-122.151342,47.560192
-122.577964,45.62094
-122.30033,47.585339
-122.633393,47.748427
-122.255648,47.899424
-121.668459,47.426482
-122.628418,48.487079
-122.298657,47.663771
-122.122018,47.678465
-122.227707,47.943014
-122.346385,47.630685
-122.02812,47.393554
-122.367721,47.639264
-122.085999,48.016305
-122.2016,47.447869
-122.596722,47.168908
-122.298657,47.663771
-120.50508,47.532609
-122.122018,47.678465
-122.438132,48.029812
-122.590961,47.532193
-123.09921,47.225326
-122.302507,47.911921
-122.188994,47.678406
-122.275593,47.54055
-122.132064,47.759381
-122.132064,47.759381
-122.204248,47.719278
-122.313368,47.54411
-121.991415,47.199452
-122.396286,47.293138
-122.117365,47.609515
-122.367721,47.639264
-122.296466,47.631708
-122.454718,48.801538
-122.399558,47.648651
-122.370159,47.743354
-122.751179,47.002092
-120.532719,46.59458
-122.296466,47.631708
-122.480106,47.211446
-122.303604,47.716244
-121.668459,47.426482
-122.686329,45.713105
-122.874042,46.998873
-122.493388,48.74995
-122.195381,47.369696
-122.042724,47.623594
-122.303604,47.716244
-122.575569,48.08489
-121.876276,47.735749
-122.379354,47.687571
-122.34619,47.615293
-122.303324,47.756486
-119.294913,46.328447
-122.751179,47.002092
-122.628418,48.487079
-122.30251,47.488635
-122.045204,48.19401
-122.362029,47.308531
-122.535237,47.227719
-122.203169,47.619011
-122.399558,47.648651
-122.275593,47.54055
-122.781876,47.089772
-122.328611,47.602601
-122.249664,47.497442
-122.924946,48.657249
-122.370159,47.743354
-121.92791,47.853585
-122.818016,48.080229
-122.195381,47.369696
-123.011746,46.173162
-122.132064,47.494834
-122.122018,47.678465
-122.010741,47.506838
-122.874042,46.998873
-122.633393,47.748427
-122.010741,47.506838
-122.122018,47.678465
-122.704056,47.66424
-122.221114,48.097872
-122.188994,47.678406
-122.188994,47.678406
-122.303324,47.756486
-122.979969,47.078241
-122.526506,47.81346
-119.282747,46.129715
-122.028168,47.586173
-119.282747,46.129715
-122.196448,47.40561
-122.042724,47.623594
-122.151342,47.560192
-122.029605,47.939428
-122.718893,47.376283
-122.704056,47.66424
-122.132064,47.759381
-122.370159,47.743354
-122.02812,47.393554
-120.336499,47.425146
-122.120008,48.522006
-122.227947,47.565443
-122.151342,47.560192
-122.508465,45.670446
-120.085363,47.743793
-122.379354,47.687571
-122.303604,47.716244
-122.303324,47.756486
-122.924946,48.657249
-122.297534,47.685291
-122.379354,47.687571
-122.343577,47.672491
-122.296466,47.631708
-122.042724,47.623594
-122.399558,47.648651
-122.151342,47.560192
-122.699212,47.161124
-122.287614,47.83874
-122.246193,47.755504
-122.303604,47.716244
-122.303413,47.61065
-122.362029,47.308531
-122.132064,47.494834
-122.188994,47.678406
-123.818061,46.986116
-122.014191,47.559121
-122.343983,47.739969
-122.302507,47.911921
