station_id,charging_status,latitude,longtitude,address,zip_code,outlet_counts
145627,TRUE,47.245269,-122.206909,1502 Lake Tapps Parkway SE,98092,2
145626,TRUE,47.2442292,-122.4388691,1901 Jefferson Ave,98402,1
145625,TRUE,47.24293,-122.39677,2302 Pacific Hwy E,98424,1
145624,TRUE,47.24198,-122.348098,6006 Pacific Highway East,98424,2
145623,TRUE,47.239472,-122.480252,1965 S Union Ave.,98405,3
145622,TRUE,47.239188,-122.374558,4011 20th St E,98424,2
145621,TRUE,47.23467255,-117.3700638,E 6th St,99170,3
145619,TRUE,47.21543,-122.47068,4502 S Steele St,98409,3
145617,TRUE,47.20663834,-122.2922287,111 Valley Ave NE,98372,2
145616,TRUE,47.204923,-122.288245,516 Valley Avenue NE,98372,1
145615,TRUE,47.203981,-122.237313,1099 Wood Ave,98390,1
145613,TRUE,47.19060898,-122.4844208,7230 S Tacoma Way,98409,2
145612,TRUE,47.184778,-122.29331,110 9th Ave SW,98371,1
145611,TRUE,47.182515,-122.291956,10th Ave SE,98371,1
145609,TRUE,47.1727264,-122.5984377,207 Wilkes Street,98388,1
145608,TRUE,47.1531991,-122.5040231,11509 Bridgeport Way SW,98499,1
145607,TRUE,47.1450982,-122.4387415,508 122nd St S,98447,1
145606,TRUE,47.119482,-118.362709,1611 Smittys Blvd.,99169,2
145605,TRUE,47.1169681,-122.5685433,Quartermaster Rd,98498,1
145604,TRUE,47.0987868,-122.374551,17404 44th Avenue East,98446,1
145603,TRUE,47.097647,-119.984624,344 Silica Rd NW,98848,1
145602,TRUE,47.093942,-122.6260623,100 Barksdale Avenue,98327,1
145601,TRUE,47.0920691,-122.6422247,975 Ross Avenue,98327,1
145599,TRUE,47.071917,-122.976675,2700 Evergreen Pkwy NW,98505,2
145598,TRUE,47.069827,-122.773312,2555 Marvin Rd NE,98516,1
145596,TRUE,47.0616742,-122.7708595,8000 Freedom Ln NE,98516,1
145595,TRUE,47.059659,-122.77201,1401 Galaxy Dr. NE,98516,2
145594,TRUE,47.056464,-122.754372,211 Hoh Street Southeast,98516,1
145592,TRUE,47.052857,-122.84707,413 Lilly Road NE,98506,1
145591,TRUE,47.0479529,-122.8986776,500 Adams St NE,98501,2
145590,TRUE,47.0474918,-122.9395438,3010 Harrison Ave NW,98502,1
145589,TRUE,47.04679,-122.80809,300 Desmond Dr SE,98516,1
145588,TRUE,47.044572,-122.836183,651 Sleater Kinney Rd SE,98503,1
145586,TRUE,47.042021,-122.938312,625 Black Lake Blvd,98502,1
145585,TRUE,47.040004,-122.901951,128 SW 10th Ave,98501,1
145584,TRUE,47.038249,-122.89884,208 11th Ave SE,98501,1
145582,TRUE,47.035854,-122.894952,505 14th Ave SE,98501,1
145581,TRUE,47.027591,-122.920591,2404 Heritage Court SW,98502,1
145579,TRUE,47.023179,-122.922337,1520 Irving St SW,98512,1
145577,TRUE,47.0002897,-122.6682861,12819 Yelm Hwy SE,98513,1
